"participant","sex","include","time","sets","leg","exercise","load"
"FP28","female","incl","week2","multiple","L","legext",65
"FP28","female","incl","week5","single","R","legpress",215
"FP28","female","incl","week5","multiple","L","legpress",230
"FP28","female","incl","week5","single","R","legext",67.5
"FP28","female","incl","week5","multiple","L","legext",67.5
"FP28","female","incl","week9","single","R","legpress",NA
"FP28","female","incl","week9","multiple","L","legpress",NA
"FP28","female","incl","week9","single","R","legext",NA
"FP28","female","incl","week9","multiple","L","legext",NA
"FP28","female","incl","post","single","R","legpress",217.5
"FP28","female","incl","post","multiple","L","legpress",245
"FP28","female","incl","post","single","R","legext",75
"FP28","female","incl","post","multiple","L","legext",72.5
"FP34","female","incl","pre","multiple","R","legpress",130
"FP34","female","incl","pre","single","L","legpress",135
"FP34","female","incl","pre","multiple","R","legext",45
"FP34","female","incl","pre","single","L","legext",42.5
"FP34","female","incl","session1","multiple","R","legpress",150
"FP34","female","incl","session1","single","L","legpress",150
"FP34","female","incl","session1","multiple","R","legext",45
"FP34","female","incl","session1","single","L","legext",42.5
"FP34","female","incl","week2","multiple","R","legpress",170
"FP34","female","incl","week2","single","L","legpress",172.5
"FP34","female","incl","week2","multiple","R","legext",50
"FP34","female","incl","week2","single","L","legext",55
"FP34","female","incl","week5","multiple","R","legpress",200
"FP34","female","incl","week5","single","L","legpress",200
"FP34","female","incl","week5","multiple","R","legext",57.5
"FP34","female","incl","week5","single","L","legext",60
"FP34","female","incl","week9","multiple","R","legpress",NA
"FP34","female","incl","week9","single","L","legpress",NA
"FP34","female","incl","week9","multiple","R","legext",NA
"FP34","female","incl","week9","single","L","legext",NA
"FP34","female","incl","post","multiple","R","legpress",210
"FP34","female","incl","post","single","L","legpress",250
"FP34","female","incl","post","multiple","R","legext",65
"FP34","female","incl","post","single","L","legext",65
"FP25","male","incl","pre","multiple","R","legpress",165
"FP25","male","incl","pre","single","L","legpress",165
"FP25","male","incl","pre","multiple","R","legext",65
"FP25","male","incl","pre","single","L","legext",65
"FP25","male","incl","session1","multiple","R","legpress",170
"FP25","male","incl","session1","single","L","legpress",165
"FP25","male","incl","session1","multiple","R","legext",67.5
"FP25","male","incl","session1","single","L","legext",67.5
"FP25","male","incl","week2","multiple","R","legpress",NA
"FP25","male","incl","week2","single","L","legpress",NA
"FP25","male","incl","week2","multiple","R","legext",72.5
"FP25","male","incl","week2","single","L","legext",72.5
"FP25","male","incl","week5","multiple","R","legpress",200
"FP25","male","incl","week5","single","L","legpress",195
"FP25","male","incl","week5","multiple","R","legext",85
"FP25","male","incl","week5","single","L","legext",75
"FP25","male","incl","week9","multiple","R","legpress",NA
"FP25","male","incl","week9","single","L","legpress",NA
"FP25","male","incl","week9","multiple","R","legext",NA
"FP25","male","incl","week9","single","L","legext",NA
"FP25","male","incl","post","multiple","R","legpress",240
"FP25","male","incl","post","single","L","legpress",227.5
"FP25","male","incl","post","multiple","R","legext",102.5
"FP25","male","incl","post","single","L","legext",90
"FP36","female","incl","pre","single","R","legpress",135
"FP36","female","incl","pre","multiple","L","legpress",125
"FP36","female","incl","pre","single","R","legext",55
"FP36","female","incl","pre","multiple","L","legext",55
"FP36","female","incl","session1","single","R","legpress",155
"FP36","female","incl","session1","multiple","L","legpress",140
"FP36","female","incl","session1","single","R","legext",45
"FP36","female","incl","session1","multiple","L","legext",45
"FP36","female","incl","week2","single","R","legpress",195
"FP36","female","incl","week2","multiple","L","legpress",190
"FP36","female","incl","week2","single","R","legext",55
"FP36","female","incl","week2","multiple","L","legext",55
"FP36","female","incl","week5","single","R","legpress",195
"FP36","female","incl","week5","multiple","L","legpress",190
"FP36","female","incl","week5","single","R","legext",60
"FP36","female","incl","week5","multiple","L","legext",62.5
"FP36","female","incl","week9","single","R","legpress",NA
"FP36","female","incl","week9","multiple","L","legpress",NA
"FP36","female","incl","week9","single","R","legext",NA
"FP36","female","incl","week9","multiple","L","legext",NA
"FP36","female","incl","post","single","R","legpress",205
"FP36","female","incl","post","multiple","L","legpress",205
"FP36","female","incl","post","single","R","legext",65
"FP36","female","incl","post","multiple","L","legext",60
